Run,query,containment,ScientificName
ERR2244420,FV_DSM_15829_genome,0.510752688172043,human reproductive system metagenome
ERR2244501,FV_DSM_15829_genome,0.5053763440860215,human reproductive system metagenome
ERR2244503,FV_DSM_15829_genome,0.6505376344086021,human reproductive system metagenome
ERR2244547,FV_DSM_15829_genome,0.6397849462365591,human reproductive system metagenome
ERR2244563,FV_DSM_15829_genome,0.6559139784946236,human reproductive system metagenome
ERR2244564,FV_DSM_15829_genome,0.6559139784946236,human reproductive system metagenome
ERR2855935,FV_DSM_15829_genome,0.6397849462365591,feces metagenome
ERR3450712,FV_DSM_15829_genome,0.6021505376344086,human metagenome
ERR3451323,FV_DSM_15829_genome,0.5752688172043011,human metagenome
ERR3500819,FV_DSM_15829_genome,0.5806451612903226,metagenome
ERR3500826,FV_PB189-T1-4_genome,0.6192170818505338,metagenome
ERR3500854,FV_DSM_15829_genome,0.5860215053763441,metagenome
ERR3500857,FV_DSM_15829_genome,0.5161290322580645,metagenome
ERR3500861,FV_DSM_15829_genome,0.5053763440860215,metagenome
ERR3527918,FV_DSM_15829_genome,0.6344086021505376,metagenome
ERR3527919,FV_DSM_15829_genome,0.543010752688172,metagenome
ERR3594025,FV_DSM_15829_genome,0.521505376344086,gut metagenome
ERR3594028,FV_DSM_15829_genome,0.5161290322580645,gut metagenome
ERR3594029,FV_DSM_15829_genome,0.5591397849462365,gut metagenome
ERR3596491,FV_PB189-T1-4_genome,0.5373665480427047,human vaginal metagenome
ERR3596493,FV_DSM_15829_genome,0.5860215053763441,human vaginal metagenome
ERR3950381,FV_DSM_15829_genome,0.6666666666666666,urine metagenome
ERR3950463,FV_DSM_15829_genome,0.532258064516129,urine metagenome
ERR3950464,FV_DSM_15829_genome,0.5161290322580645,urine metagenome
ERR4031201,FV_DSM_15829_genome,0.5483870967741935,vaginal metagenome
ERR4031222,FV_DSM_15829_genome,0.5698924731182796,vaginal metagenome
ERR4031227,FV_DSM_15829_genome,0.543010752688172,vaginal metagenome
ERR4031329,FV_DSM_15829_genome,0.5591397849462365,vaginal metagenome
ERR4031345,FV_DSM_15829_genome,0.5053763440860215,vaginal metagenome
ERR4421552,FV_DSM_15829_genome,0.6720430107526881,human vaginal metagenome
ERR4421603,FV_DSM_15829_genome,0.6505376344086021,human vaginal metagenome
ERR5083192,FV_DSM_15829_genome,0.521505376344086,metagenome
ERR6910914,FV_DSM_15829_genome,0.5645161290322581,Homo sapiens
ERR6910991,FV_DSM_15829_genome,0.6236559139784946,Homo sapiens
SRR059320,FV_DSM_15829_genome,0.5967741935483871,human metagenome
SRR059320,FV_PB189-T1-4_genome,0.6120996441281139,human metagenome
SRR059321,FV_DSM_15829_genome,0.6451612903225806,human metagenome
SRR059321,FV_PB189-T1-4_genome,0.6227758007117438,human metagenome
SRR059348,FV_DSM_15829_genome,0.7096774193548387,human metagenome
SRR059349,FV_DSM_15829_genome,0.7096774193548387,human metagenome
SRR059458,FV_DSM_15829_genome,0.7311827956989247,human metagenome
SRR059459,FV_DSM_15829_genome,0.7258064516129032,human metagenome
SRR059816,FV_DSM_15829_genome,0.521505376344086,human metagenome
SRR059817,FV_DSM_15829_genome,0.5752688172043011,human metagenome
SRR060038,FV_DSM_15829_genome,0.7204301075268817,human metagenome
SRR060038,FV_PB189-T1-4_genome,0.6405693950177936,human metagenome
SRR062045,FV_DSM_15829_genome,0.6236559139784946,human metagenome
SRR062046,FV_DSM_15829_genome,0.6827956989247311,human metagenome
SRR062046,FV_PB189-T1-4_genome,0.6405693950177936,human metagenome
SRR062096,FV_DSM_15829_genome,0.6559139784946236,human metagenome
SRR062096,FV_PB189-T1-4_genome,0.6476868327402135,human metagenome
SRR062097,FV_DSM_15829_genome,0.6935483870967742,human metagenome
SRR062097,FV_PB189-T1-4_genome,0.6405693950177936,human metagenome
SRR063897,FV_PB189-T1-4_genome,1.0,human metagenome
SRR10258546,FV_DSM_15829_genome,0.7096774193548387,human vaginal metagenome
SRR10258546,FV_PB189-T1-4_genome,0.6512455516014235,human vaginal metagenome
SRR10258547,FV_DSM_15829_genome,0.6935483870967742,human vaginal metagenome
SRR10258552,FV_DSM_15829_genome,0.7150537634408602,human vaginal metagenome
